S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1,Suzuki Bolan VX 2010,Suzuki,2010,60000,Petrol,Manual,Lahore,Maroon,800,Mini Van,6.45
2,Suzuki Alto VXR 2006,Suzuki,2006,54000,Petrol,Manual,Islamabad,White,1000,Hatchback,6.45
3,Suzuki Cultus VXR 2006,Suzuki,2006,50000,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.45
4,Suzuki Mehran VX (CNG) 2012,Suzuki,2012,59000,Petrol,Manual,Lahore,Black,800,Hatchback,6.45
5,Suzuki Mehran VX 2011,Suzuki,2011,45000,Petrol,Manual,Sindh,White,800,Hatchback,6.5
6,Suzuki Potohar Basegrade 1986,Suzuki,1986,19999,Diesel,Manual,Lahore,Orange,1000,SUV,6.5
7,Suzuki Cultus VXL 2000,Suzuki,2000,10000,Hybrid,Manual,Abbottabad,Black,1000,Hatchback,6.5
8,Suzuki Mehran VXR (CNG) 2011,Suzuki,2011,40000,Petrol,Manual,Lahore,Grey,800,Hatchback,6.5
9,Suzuki Cultus VXR 2006,Suzuki,2006,35385,Petrol,Manual,Sindh,Silver,1000,Hatchback,6.5
10,Suzuki Mehran VX 2012,Suzuki,2012,50000,Petrol,Manual,Sheikhupura,Black,800,Hatchback,6.5
11,Suzuki Mehran VX 2012,Suzuki,2012,60000,Petrol,Manual,Lahore,White,800,Hatchback,6.5
12,Suzuki Ravi Euro II 2015,Suzuki,2015,35000,Petrol,Manual,Punjab,Green,800,Pick Up,6.5
13,Suzuki Alto VXR (CNG) 2003,Suzuki,2003,50000,Petrol,Manual,Lahore,Gold,1000,Hatchback,6.5
14,Suzuki Cultus VXR (CNG) 2003,Suzuki,2003,40000,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.5
15,Suzuki Bolan VX Euro II 2012,Suzuki,2012,50000,Petrol,Manual,Islamabad,White,800,Van,6.5
16,Suzuki Cultus VXR 2003,Suzuki,2003,60000,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.5
17,Suzuki Cultus VXR 2004,Suzuki,2004,1234,Petrol,Manual,Lahore,Silver,1000,Hatchback,6.5
18,Suzuki Mehran VXR 2008,Suzuki,2008,1000,Petrol,Manual,Lahore,White,800,Hatchback,6.5
19,Suzuki Bolan VX Euro II 2015,Suzuki,2015,45000,Petrol,Manual,Lahore,Green,800,Van,6.55
20,Suzuki Bolan VX (CNG) 2006,Suzuki,2006,4500,Petrol,Manual,Lahore,White,800,Mini Van,6.55
21,Suzuki Cultus VXR (CNG) 2002,Suzuki,2002,20000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,6.55
22,Daihatsu Cuore CL 2005,Daihatsu,2005,1111,Petrol,Manual,Punjab,Silver,800,Hatchback,6.6
23,Suzuki Bolan GL 2007,Suzuki,2007,30000,Petrol,Manual,Islamabad,White,800,Micro Van,6.6
24,Suzuki Mehran VX (CNG) 2009,Suzuki,2009,50000,Petrol,Manual,Lahore,Grey,800,Hatchback,6.6
25,Suzuki Mehran VXR Euro II 2014,Suzuki,2014,60000,Petrol,Manual,Sindh,White,800,Hatchback,6.6
26,Suzuki Ravi Euro II 2015,Suzuki,2015,31500,Petrol,Manual,Lahore,Green,800,Pick Up,6.6
27,Suzuki Mehran VXR 2008,Suzuki,2008,45000,Petrol,Manual,Islamabad,White,800,Hatchback,6.6
28,Hyundai Santro Club 2004,Hyundai,2004,10000,Petrol,Manual,Sindh,Grey,1000,Hatchback,6.6
29,Suzuki Cultus VXR 2005,Suzuki,2005,1000,Petrol,Manual,Sindh,Silver,1000,Hatchback,6.6
30,Suzuki Cultus VXR 2007,Suzuki,2007,50000,Petrol,Manual,Lahore,Blue,1000,Hatchback,6.6
31,Suzuki Mehran VX 2006,Suzuki,2006,14073,Petrol,Manual,Lahore,White,800,Hatchback,6.6
32,Suzuki Mehran VXR (CNG) 2009,Suzuki,2009,58000,Petrol,Manual,Lahore,Silver,800,Hatchback,6.65
33,Suzuki Cultus VXR 2007,Suzuki,2007,47855,Petrol,Manual,Lahore,Burgundy,1000,Hatchback,6.69
34,Suzuki Bolan VX Euro II 2016,Suzuki,2016,59000,Petrol,Manual,Multan,Green,800,Van,6.7
35,Suzuki Mehran VX 2010,Suzuki,2010,32000,Petrol,Manual,Islamabad,Maroon,800,Hatchback,6.7
36,Suzuki Bolan VX 2012,Suzuki,2012,55000,Petrol,Manual,Un-Registered,White,800,Mini Van,6.7
37,Suzuki Mehran VX (CNG) 2010,Suzuki,2010,16481,Petrol,Manual,Sindh,Silver,800,Hatchback,6.7
38,Suzuki Bolan VX (CNG) 2009,Suzuki,2009,10000,Petrol,Manual,Mansehra,Red,800,Mini Van,6.7
39,Honda Civic EX 1995,Honda,1995,999,Petrol,Manual,Islamabad,Black,1500,Sedan,6.7
40,Suzuki Mehran VXR 2010,Suzuki,2010,1000,Petrol,Manual,Islamabad,White,800,Hatchback,6.7
41,Suzuki Mehran VX (CNG) 2012,Suzuki,2012,35307,Petrol,Manual,Sindh,White,800,Hatchback,6.75
42,Suzuki Ravi Euro II 2014,Suzuki,2014,53000,Petrol,Manual,Sindh,Red,800,Pick Up,6.75
43,Suzuki Mehran VX (CNG) 2010,Suzuki,2010,55000,Petrol,Manual,Islamabad,White,800,Hatchback,6.75
44,Honda Civic EXi Automatic 1996,Honda,1996,8888,Petrol,Automatic,Punjab,Black,1500,Sedan,6.75
45,Suzuki Cultus VXR 2007,Suzuki,2007,1000,Petrol,Manual,Sindh,Silver,1000,Hatchback,6.75
46,Suzuki Mehran VX 2010,Suzuki,2010,55000,Petrol,Manual,Punjab,White,800,Hatchback,6.75
47,Chevrolet Joy 1.0 2008,Chevrolet,2008,10000,Petrol,Manual,Sindh,Indigo,1000,Hatchback,6.75
48,Suzuki Potohar Basegrade 1987,Suzuki,1987,697,Diesel,Manual,Lahore,Green,1000,SUV,6.8
49,Toyota Corolla 2.0D 2006,Toyota,2006,22222,Diesel,Manual,Lahore,White,2000,Sedan,6.8
50,Suzuki Khyber GA 1998,Suzuki,1998,50000,Petrol,Manual,Punjab,Grey,1000,Hatchback,6.8
51,Suzuki Baleno Sport 2000,Suzuki,2000,2000,Petrol,Manual,Islamabad,White,1300,Sedan,6.8
52,Suzuki Mehran VX Euro II 2014,Suzuki,2014,60000,Petrol,Manual,Abbottabad,Blue,800,Hatchback,6.8
53,Suzuki Mehran VX 2012,Suzuki,2012,25335,Petrol,Manual,Punjab,Grey,800,Hatchback,6.8
54,Suzuki Mehran VXR Euro II 2013,Suzuki,2013,4444,Petrol,Manual,Sindh,Grey,800,Hatchback,6.8
55,Suzuki Mehran VX Euro II 2013,Suzuki,2013,7000,Petrol,Manual,Khanewal,White,800,Hatchback,6.8
56,Suzuki Mehran VX 2011,Suzuki,2011,58000,Petrol,Manual,Punjab,White,800,Hatchback,6.8
57,Suzuki Bolan VX 2012,Suzuki,2012,10000,Petrol,Manual,Gujranwala,Black,800,Mini Van,6.8
58,Suzuki Cultus VXL (CNG) 2006,Suzuki,2006,25000,Petrol,Manual,Sindh,Silver,1000,Hatchback,6.8
59,Suzuki Mehran VX Euro II 2013,Suzuki,2013,858,Petrol,Manual,Multan,White,800,Hatchback,6.8
60,Honda Civic VTi 1.6 1997,Honda,1997,9999,Petrol,Manual,Sindh,White,1600,Sedan,6.85
61,Chevrolet Joy 1.0 2006,Chevrolet,2006,1234,Petrol,Manual,Rahim Yar Khan,White,1000,Hatchback,6.85
62,Suzuki Mehran VXR 2011,Suzuki,2011,44780,Petrol,Manual,Islamabad,White,800,Hatchback,6.85
63,Suzuki Alto VXR (CNG) 2006,Suzuki,2006,60000,Petrol,Manual,Islamabad,White,1000,Hatchback,6.85
64,Suzuki Cultus VXR 2006,Suzuki,2006,56000,Petrol,Manual,Sahiwal,Silver,1000,Hatchback,6.9
65,Suzuki Cultus VXR 2006,Suzuki,2006,18000,Petrol,Manual,Islamabad,Grey,1000,Hatchback,6.9
66,Suzuki Alto VXR 2007,Suzuki,2007,50000,Petrol,Automatic,Sindh,Blue,660,Hatchback,6.9
67,Suzuki Mehran VX 2011,Suzuki,2011,51423,Petrol,Manual,Islamabad,White,800,Hatchback,6.95
68,Suzuki Mehran VX 2010,Suzuki,2010,42000,Petrol,Manual,Islamabad,White,800,Hatchback,6.95
69,Suzuki Mehran VX Euro II 2013,Suzuki,2013,6666,Petrol,Manual,Multan,Grey,800,Hatchback,6.95
70,Suzuki Cultus VXR 2007,Suzuki,2007,50000,Petrol,Manual,Sindh,White,1000,Hatchback,6.95
71,Suzuki Cultus VXRi (CNG) 2008,Suzuki,2008,50000,Petrol,Manual,Sindh,Silver,1000,Hatchback,6.95
72,Hyundai Santro Club 2004,Hyundai,2004,8888,Petrol,Manual,Peshawar,Beige,1000,Hatchback,6.99
73,Suzuki Mehran VX 2009,Suzuki,2009,45873,Petrol,Manual,Islamabad,Blue,800,Hatchback,7
74,Suzuki Bolan VX Euro II 2015,Suzuki,2015,10000,Petrol,Manual,Sargodha,Green,800,Van,7
75,Toyota Corolla SE Limited 1988,Toyota,1988,10000,Petrol,Manual,Sindh,White,1500,Sedan,7
76,Suzuki Bolan VX Euro II 2015,Suzuki,2015,34597,Petrol,Manual,Punjab,Green,800,Van,7
77,Suzuki Cultus VXR 2007,Suzuki,2007,45000,Petrol,Manual,Multan,Beige,1000,Hatchback,7
78,Honda Civic EX 1995,Honda,1995,15000,Petrol,Manual,Sindh,White,1500,Sedan,7
79,Suzuki Bolan VX Euro II 2015,Suzuki,2015,19663,Petrol,Manual,Multan,Green,800,Van,7
80,Suzuki Mehran VX 2007,Suzuki,2007,60000,Petrol,Manual,Islamabad,Blue,800,Hatchback,7
81,Suzuki Cultus VXR 2006,Suzuki,2006,54000,Petrol,Manual,Sindh,Silver,1000,Hatchback,7
82,Suzuki Mehran VXR 2009,Suzuki,2009,43528,Petrol,Manual,Lahore,White,800,Hatchback,7
83,Suzuki Bolan VX (CNG) 2006,Suzuki,2006,40000,Petrol,Manual,Lahore,White,800,Mini Van,7
84,Suzuki Cultus VXR (CNG) 2007,Suzuki,2007,18000,Petrol,Manual,Karachi,White,1000,Hatchback,7
85,Suzuki Cultus VXR 2006,Suzuki,2006,59000,Petrol,Manual,Islamabad,White,1000,Hatchback,7.1
86,Suzuki Khyber Plus 1998,Suzuki,1998,48000,Petrol,Manual,Islamabad,Grey,1000,Hatchback,7.1
87,Suzuki Cultus VXL (CNG) 2007,Suzuki,2007,1144,Petrol,Manual,Multan,White,1000,Hatchback,7.1
88,Suzuki Mehran VX (CNG) 2010,Suzuki,2010,50000,Petrol,Manual,Islamabad,White,800,Hatchback,7.1
89,Suzuki Mehran VXR Euro II 2013,Suzuki,2013,53000,Petrol,Manual,Sindh,White,800,Hatchback,7.1
90,Suzuki Cultus VXRi 2007,Suzuki,2007,50000,Petrol,Manual,Multan,Gold,1000,Hatchback,7.1
91,Suzuki Alto VXR 2007,Suzuki,2007,30000,Petrol,Manual,Sindh,Gold,1000,Hatchback,7.1
92,Honda City EXi 1998,Honda,1998,7766,Petrol,Manual,Sindh,Maroon,1300,Sedan,7.15
93,Suzuki Mehran VX 2011,Suzuki,2011,42000,Petrol,Manual,Punjab,White,800,Hatchback,7.15
94,Suzuki Alto VXR 2008,Suzuki,2008,45000,Petrol,Manual,Multan,Bronze,1000,Hatchback,7.15
95,Suzuki Cultus VXL (CNG) 2005,Suzuki,2005,58000,Petrol,Manual,Multan,Silver,1000,Hatchback,7.2
96,Suzuki Alto VXR 2008,Suzuki,2008,54500,Petrol,Manual,Sialkot,Green,1000,Hatchback,7.2
97,Suzuki Cultus VXL 2006,Suzuki,2006,50000,Petrol,Manual,Sindh,Blue,1000,Hatchback,7.2
98,Suzuki Bolan VX (CNG) 2010,Suzuki,2010,60000,Petrol,Manual,Gujrat,White,800,Mini Van,7.2
99,Suzuki Bolan Cargo Van Euro ll 2015,Suzuki,2015,47000,Petrol,Manual,Sialkot,Green,800,Mini Van,7.2
100,Suzuki Mehran VXR Euro II 2014,Suzuki,2014,32000,Petrol,Manual,Sindh,White,800,Hatchback,7.2
101,Suzuki Cultus VXR 2007,Suzuki,2007,56000,Petrol,Manual,Punjab,White,1000,Hatchback,7.2
102,Suzuki Mehran VXR (CNG) 2007,Suzuki,2007,22553,Petrol,Manual,Multan,White,800,Hatchback,7.2
103,Suzuki Mehran VX 2009,Suzuki,2009,38200,Petrol,Manual,Islamabad,White,800,Hatchback,7.2
104,Suzuki Bolan VX Euro II 2014,Suzuki,2014,44000,Petrol,Manual,Punjab,White,800,Van,7.2
105,Suzuki Ravi Euro II 2014,Suzuki,2014,19100,Petrol,Manual,Sindh,Red,800,Pick Up,7.2
106,Suzuki Mehran VXR 2011,Suzuki,2011,48000,Petrol,Manual,Punjab,Grey,800,Hatchback,7.2
107,Daihatsu Cuore CL Eco 2010,Daihatsu,2010,25487,Petrol,Manual,Sindh,Beige,800,Hatchback,7.2
108,Suzuki Mehran VX 2011,Suzuki,2011,47000,Petrol,Manual,Punjab,White,800,Hatchback,7.25
109,Suzuki Mehran VX 2011,Suzuki,2011,43000,Petrol,Manual,Sindh,Grey,800,Hatchback,7.25
110,Toyota Crown Royal Saloon 1985,Toyota,1985,11111,Diesel,Automatic,Karachi,Grey,2200,Sedan,7.25
111,Suzuki Cultus VXR (CNG) 2006,Suzuki,2006,60000,Petrol,Manual,Sindh,Blue,1000,Hatchback,7.25
112,Suzuki Mehran VX Euro II 2013,Suzuki,2013,22000,Petrol,Manual,Gujranwala,White,800,Hatchback,7.25
113,Suzuki Cultus VXRi (CNG) 2007,Suzuki,2007,45000,Petrol,Manual,Punjab,Black,1000,Hatchback,7.25
114,Suzuki Ravi Euro II 2013,Suzuki,2013,45000,Petrol,Manual,Rawalpindi,White,800,Pick Up,7.25
115,Suzuki Mehran VX Euro II 2013,Suzuki,2013,27000,Petrol,Manual,Islamabad,Grey,800,Hatchback,7.25
116,Suzuki Cultus VXR 2007,Suzuki,2007,2000,Petrol,Manual,Sindh,Blue,1000,Hatchback,7.25
117,Honda Civic EX 1995,Honda,1995,10000,Petrol,Manual,Punjab,White,1500,Sedan,7.25
118,Suzuki Alto VXR 2006,Suzuki,2006,2500,Petrol,Manual,Kohat,Maroon,1000,Hatchback,7.25
119,Suzuki Cultus VXR 2006,Suzuki,2006,34000,Petrol,Manual,Sindh,White,1000,Hatchback,7.25
120,Suzuki Mehran VX Euro II 2014,Suzuki,2014,25000,Petrol,Manual,Punjab,Gold,800,Hatchback,7.25
121,Suzuki Mehran VXR Euro II 2013,Suzuki,2013,19563,Petrol,Manual,Punjab,White,800,Hatchback,7.3
122,Suzuki Cultus VXR 2005,Suzuki,2005,6669,Petrol,Manual,Punjab,Silver,1000,Hatchback,7.3
123,Suzuki Alto VXR 2007,Suzuki,2007,45908,Petrol,Manual,Islamabad,White,1000,Hatchback,7.3
124,Suzuki Mehran VXR 2011,Suzuki,2011,5500,Petrol,Manual,Abbottabad,Grey,800,Hatchback,7.3
125,Suzuki Alto VXR 2006,Suzuki,2006,1234,Petrol,Manual,Islamabad,White,1000,Hatchback,7.3
126,Suzuki Mehran VXR (CNG) 2010,Suzuki,2010,8900,Petrol,Manual,Islamabad,Grey,800,Hatchback,7.3
127,Suzuki Mehran VX 2012,Suzuki,2012,55000,Petrol,Manual,Punjab,Grey,800,Hatchback,7.3
128,Suzuki Alto VX 2010,Suzuki,2010,6000,Petrol,Manual,Rawalpindi,White,1000,Hatchback,7.3
129,FAW X-PV Basic 2014,FAW,2014,50000,Petrol,Manual,Islamabad,White,1000,Mini Van,7.3
130,Suzuki Mehran VXR 2011,Suzuki,2011,12456,Petrol,Manual,Punjab,Grey,800,Hatchback,7.3
131,Suzuki Bolan VX (CNG) 2009,Suzuki,2009,55000,Petrol,Manual,Islamabad,White,800,Mini Van,7.3
132,Daihatsu Cuore CL 2007,Daihatsu,2007,14874,Petrol,Manual,Sindh,White,800,Hatchback,7.3
133,Suzuki Margalla GL 1996,Suzuki,1996,46000,Petrol,Manual,Abbottabad,White,1300,Sedan,7.3
134,Suzuki Mehran VX Euro II 2013,Suzuki,2013,1234,Petrol,Manual,Rawalpindi,White,800,Hatchback,7.3
135,Suzuki Bolan VX Euro II 2015,Suzuki,2015,15000,Petrol,Manual,Punjab,Green,800,Van,7.3
136,Suzuki Mehran VX (CNG) 2008,Suzuki,2008,44000,Petrol,Manual,Islamabad,Silver,800,Hatchback,7.35
137,Suzuki Mehran VX Euro II 2014,Suzuki,2014,55000,Petrol,Manual,Punjab,Grey,800,Hatchback,7.35
138,Honda Civic EX 1995,Honda,1995,53320,Petrol,Manual,Sialkot,Red,1500,Sedan,7.35
139,Prince Pearl MT 2022,Prince,2022,1700,Petrol,Manual,Punjab,White,800,Hatchback,7.35
140,Suzuki Mehran VX Euro II 2013,Suzuki,2013,52000,Petrol,Manual,Multan,White,800,Hatchback,7.35
141,Suzuki Cultus VXL (CNG) 2005,Suzuki,2005,36000,Petrol,Manual,Rawalpindi,White,1000,Hatchback,7.35
142,Suzuki Mehran VX 2008,Suzuki,2008,45000,Petrol,Manual,Islamabad,Silver,800,Hatchback,7.4
143,Suzuki Alto VXR 2007,Suzuki,2007,28403,Petrol,Manual,Islamabad,Gold,1000,Hatchback,7.4
144,Suzuki Alto G 2006,Suzuki,2006,56000,Petrol,Automatic,Sindh,White,660,Hatchback,7.4
145,Suzuki Mehran VXR Euro II 2017,Suzuki,2017,5000,Petrol,Manual,Islamabad,Silver,800,Hatchback,7.4
146,Suzuki Bolan VX (CNG) 2007,Suzuki,2007,11000,Petrol,Manual,Islamabad,White,800,Mini Van,7.4
147,Suzuki Mehran VX 2011,Suzuki,2011,53000,Petrol,Manual,Islamabad,Silver,800,Hatchback,7.4
148,Suzuki Alto GII 2005,Suzuki,2005,54000,Petrol,Automatic,Sindh,White,660,Hatchback,7.4
149,Suzuki Mehran VXR 2011,Suzuki,2011,50000,Petrol,Manual,Punjab,Silver,800,Hatchback,7.4
150,Suzuki Mehran VX (CNG) 2011,Suzuki,2011,56000,Petrol,Manual,Multan,Grey,800,Hatchback,7.4
151,Suzuki Cultus VXR 2006,Suzuki,2006,10000,Petrol,Manual,Islamabad,White,1000,Hatchback,7.45
152,Daihatsu Cuore CX Eco 2007,Daihatsu,2007,1234,Petrol,Manual,Punjab,Black,800,Hatchback,7.45
153,Suzuki Cultus VXL (CNG) 2007,Suzuki,2007,2555,Petrol,Manual,Multan,White,1000,Hatchback,7.45
154,Suzuki Bolan VX 2012,Suzuki,2012,15600,Petrol,Manual,Islamabad,White,800,Mini Van,7.5
155,Suzuki Baleno JXL 2004,Suzuki,2004,25000,Petrol,Manual,Punjab,White,1300,Sedan,7.5
156,Suzuki Ravi Euro II 2015,Suzuki,2015,40000,Petrol,Manual,Gujranwala,Green,800,Pick Up,7.5
157,Suzuki Alto VXR 2011,Suzuki,2011,5000,Petrol,Manual,Sindh,White,1000,Hatchback,7.5
158,Suzuki Cultus VXR 2004,Suzuki,2004,50000,Petrol,Manual,Lahore,White,1000,Hatchback,7.5
159,Suzuki Bolan VX 2011,Suzuki,2011,50000,Petrol,Manual,Lahore,White,800,Mini Van,7.5
160,Suzuki Bolan Cargo Van Euro ll 2015,Suzuki,2015,25000,Petrol,Manual,Lahore,Green,800,Mini Van,7.5
161,Suzuki Mehran VX Euro II Limited Edition 2014,Suzuki,2014,50000,Petrol,Manual,Sindh,Gold,800,Hatchback,7.5
162,Suzuki Alto VXR 2006,Suzuki,2006,8000,Petrol,Manual,Lahore,White,1000,Hatchback,7.5
163,Suzuki Alto VXR 2008,Suzuki,2008,23600,Petrol,Manual,Sindh,Grey,1000,Hatchback,7.5
164,Suzuki Cultus VXR (CNG) 2005,Suzuki,2005,59140,Petrol,Manual,Lahore,White,1000,Hatchback,7.5
165,Suzuki Cultus VXR 2006,Suzuki,2006,51821,Petrol,Manual,Lahore,Silver,1000,Hatchback,7.5
166,Suzuki Mehran VX Euro II 2013,Suzuki,2013,1234,Petrol,Manual,Lahore,Grey,800,Hatchback,7.55
167,Suzuki Cultus VXR 2006,Suzuki,2006,884,Petrol,Manual,Lahore,White,1000,Hatchback,7.55
168,Hyundai Santro Exec GV 2006,Hyundai,2006,786,Petrol,Manual,Karachi,Blue,1000,Hatchback,7.55
169,Suzuki Mehran VXR Euro II 2016,Suzuki,2016,45000,Petrol,Manual,Lahore,Grey,800,Hatchback,7.58
170,Honda Civic EX 1995,Honda,1995,999,Petrol,Manual,Lahore,Black,1500,Sedan,7.6
171,Suzuki Cultus VXR 2007,Suzuki,2007,12850,Petrol,Manual,Rawalpindi,White,1000,Hatchback,7.6
172,Suzuki Alto VXR (CNG) 2006,Suzuki,2006,7888,Petrol,Manual,Peshawar,White,1000,Hatchback,7.6
173,Suzuki Cultus VXRi 2009,Suzuki,2009,35646,Petrol,Manual,Sindh,Grey,1000,Hatchback,7.6
174,Suzuki Cultus VXL 2005,Suzuki,2005,60000,Petrol,Manual,Sindh,White,1000,Hatchback,7.6
175,Suzuki Cultus VXR 2006,Suzuki,2006,20000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,7.6
176,Suzuki Bolan VX 2007,Suzuki,2007,50000,Petrol,Manual,Sindh,White,800,Mini Van,7.6
177,Suzuki Margalla GL 1996,Suzuki,1996,786,Petrol,Manual,Islamabad,Black,1300,Sedan,7.6
178,Hyundai Santro Exec 2004,Hyundai,2004,1234,Petrol,Manual,Sindh,Silver,1000,Hatchback,7.65
179,Suzuki Liana RXi 2006,Suzuki,2006,23000,Petrol,Manual,Sindh,Blue,1300,Sedan,7.65
180,Suzuki Mehran VXR Euro II 2015,Suzuki,2015,7500,Petrol,Manual,Punjab,Red,800,Hatchback,7.7
181,Suzuki Mehran VX 2011,Suzuki,2011,58000,Petrol,Manual,Islamabad,White,800,Hatchback,7.7
182,Suzuki Cultus VXR 2003,Suzuki,2003,1234,Petrol,Manual,Rawalpindi,White,1000,Hatchback,7.7
183,Suzuki Mehran VX 1997,Suzuki,1997,22000,Petrol,Manual,Multan,White,800,Hatchback,7.7
184,Suzuki Ravi PICKUP STD VX 1992,Suzuki,1992,1000,Petrol,Manual,Gujrat,White,800,Pick Up,7.75
185,Suzuki Cultus VX 2006,Suzuki,2006,10000,Petrol,Manual,Islamabad,Blue,1000,Hatchback,7.75
186,Suzuki Bolan GL 2008,Suzuki,2008,33473,Petrol,Manual,Jhelum,White,800,Micro Van,7.75
187,Suzuki Cultus Euro II (CNG) 2008,Suzuki,2008,7052,Petrol,Manual,Multan,White,1000,Hatchback,7.75
188,Suzuki Cultus VXL 2005,Suzuki,2005,34000,Petrol,Manual,Islamabad,Silver,1000,Hatchback,7.8
189,Suzuki Cultus VXR 2006,Suzuki,2006,57800,Petrol,Manual,Islamabad,Silver,1000,Hatchback,7.8
190,Suzuki Bolan VX Euro II 2015,Suzuki,2015,17660,Petrol,Manual,D.G.Khan,Green,800,Van,7.8
191,Suzuki Margalla GL 1995,Suzuki,1995,40000,Petrol,Manual,Sindh,Black,1300,Sedan,7.8
192,Suzuki Margalla GL 1996,Suzuki,1996,15465,Petrol,Manual,Islamabad,Red,1300,Sedan,7.8
193,Suzuki Mehran VX 2012,Suzuki,2012,57400,Petrol,Manual,Islamabad,Grey,800,Hatchback,7.8
194,Suzuki Mehran VX Euro II 2015,Suzuki,2015,40000,Petrol,Manual,Punjab,Grey,800,Hatchback,7.8
195,Suzuki Bolan VX Euro II 2015,Suzuki,2015,22212,Petrol,Manual,D.G.Khan,Green,800,Van,7.8
196,Suzuki Vitara GLX 1.6 1989,Suzuki,1989,45000,Petrol,Manual,Sindh,Blue,1600,SUV,7.8
197,Suzuki Cultus VXR 2006,Suzuki,2006,40000,Petrol,Manual,Punjab,White,1000,Hatchback,7.8
198,Honda Civic EX 1995,Honda,1995,20000,Petrol,Manual,Islamabad,Black,1500,Sedan,7.8
199,Suzuki Mehran VX 2008,Suzuki,2008,10000,Petrol,Manual,Islamabad,White,800,Hatchback,7.8
200,Suzuki Bolan VX Euro II 2015,Suzuki,2015,51600,Petrol,Manual,Sargodha,Green,800,Van,7.8
201,Suzuki Alto VXR 2008,Suzuki,2008,20000,Petrol,Manual,Punjab,Blue,1000,Hatchback,7.8
202,Suzuki Mehran VX 2010,Suzuki,2010,55000,Petrol,Manual,Islamabad,White,800,Hatchback,7.8
203,Suzuki Cultus VXR 2003,Suzuki,2003,52000,Petrol,Manual,Rawalpindi,White,1000,Hatchback,7.8
204,Suzuki Mehran VX 2010,Suzuki,2010,55000,Petrol,Manual,Islamabad,White,800,Hatchback,7.8
205,Suzuki Mehran VX Euro II 2016,Suzuki,2016,27000,Petrol,Manual,Sindh,Grey,800,Hatchback,7.8
206,Suzuki Mehran VXR Euro II 2015,Suzuki,2015,1111,Petrol,Manual,Sindh,White,800,Hatchback,7.8
207,Suzuki Mehran VX Euro II 2015,Suzuki,2015,1234,Petrol,Manual,Sindh,White,800,Hatchback,7.8
208,Suzuki Mehran VXR (CNG) 2012,Suzuki,2012,44000,Petrol,Manual,Punjab,Blue,800,Hatchback,7.8
209,Suzuki Alto VXR 2008,Suzuki,2008,10000,Petrol,Manual,Islamabad,Blue,1000,Hatchback,7.8
210,Hyundai Santro Exec 2005,Hyundai,2005,1253,Petrol,Manual,Islamabad,Grey,1000,Hatchback,7.85
211,Suzuki Cultus VXR (CNG) 2001,Suzuki,2001,5000,Petrol,Manual,Islamabad,Red,1000,Hatchback,7.85
212,Suzuki Mehran VXR 2011,Suzuki,2011,33445,Petrol,Manual,Rawalpindi,White,800,Hatchback,7.85
213,Suzuki Mehran VX Euro II 2016,Suzuki,2016,57650,Petrol,Manual,Sindh,Beige,800,Hatchback,7.85
214,Suzuki Mehran VX Euro II 2014,Suzuki,2014,17423,Petrol,Manual,Punjab,White,800,Hatchback,7.9
215,Suzuki Mehran VXR Euro II 2014,Suzuki,2014,37000,Petrol,Manual,Rahim Yar Khan,White,800,Hatchback,7.9
216,Suzuki Bolan VX Euro II 2015,Suzuki,2015,51500,Petrol,Manual,Sargodha,Green,800,Van,7.9
217,Suzuki Mehran VX Euro II 2015,Suzuki,2015,36000,Petrol,Manual,Faisalabad,Grey,800,Hatchback,7.95
218,Suzuki Cultus VXRi 2009,Suzuki,2009,40000,Petrol,Manual,Sindh,Turquoise,1000,Hatchback,7.95
219,Honda Civic VTi 1.6 1998,Honda,1998,13345,Petrol,Manual,Sindh,Black,1600,Sedan,7.95
220,Suzuki Cultus VXRi 2008,Suzuki,2008,1234,Petrol,Manual,Faisalabad,Grey,1000,Hatchback,7.95
221,Suzuki Cultus VXRi 2008,Suzuki,2008,10000,Petrol,Manual,Punjab,Grey,1000,Hatchback,7.95
222,Suzuki Mehran VXR Euro II 2015,Suzuki,2015,53000,Petrol,Manual,Karachi,White,800,Hatchback,7.95
223,Suzuki Bolan VX Euro II 2015,Suzuki,2015,11800,Petrol,Manual,D.G.Khan,Green,800,Van,7.99
224,Suzuki Ravi Euro II 2012,Suzuki,2012,33000,Petrol,Manual,Sindh,White,800,Pick Up,8
225,Suzuki Alto VXR 2011,Suzuki,2011,12000,Petrol,Manual,Sindh,White,1000,Hatchback,8
226,Suzuki Mehran VXR Euro II 2016,Suzuki,2016,54000,Petrol,Manual,Multan,White,800,Hatchback,8
227,Suzuki Mehran VX Euro II 2013,Suzuki,2013,41650,Petrol,Manual,Bahawalnagar,Grey,800,Hatchback,8
228,Suzuki Mehran VX Euro II 2015,Suzuki,2015,32000,Petrol,Manual,Punjab,Grey,800,Hatchback,8
229,Suzuki Alto VXR 2010,Suzuki,2010,30000,Petrol,Manual,Rawalpindi,Green,1000,Hatchback,8
