S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1940,Suzuki Wagon R VXL 2018,Suzuki,2018,50000,Petrol,Manual,Lahore,White,1000,Hatchback,19.25
1941,Suzuki Alto VXR 2020,Suzuki,2020,45000,Petrol,Manual,Punjab,White,660,Hatchback,19.25
1942,Suzuki Wagon R VXL 2018,Suzuki,2018,32000,Petrol,Manual,Sindh,Grey,1000,Hatchback,19.25
1943,Suzuki Cultus VXL 2018,Suzuki,2018,56000,Petrol,Manual,Sindh,Grey,1000,Hatchback,19.3
1944,Changan Karvaan Base Model 1.0 2019,Changan,2019,44000,Petrol,Manual,Lahore,Silver,1000,Mini Van,19.3
1945,Suzuki Alto VX 2021,Suzuki,2021,9677,Petrol,Manual,Islamabad,White,660,Hatchback,19.3
1946,Suzuki Wagon R VXL 2018,Suzuki,2018,45000,Petrol,Manual,Islamabad,White,1000,Hatchback,19.3
1947,Suzuki Alto VX 2020,Suzuki,2020,20000,Petrol,Manual,Islamabad,Grey,660,Hatchback,19.3
1948,Suzuki Alto VXR 2019,Suzuki,2019,28500,Petrol,Manual,Lahore,White,660,Hatchback,19.3
1949,Suzuki Wagon R VXL 2018,Suzuki,2018,40000,Petrol,Manual,Sindh,White,1000,Hatchback,19.3
1950,Suzuki Alto VX 2021,Suzuki,2021,26000,Petrol,Manual,Islamabad,White,660,Hatchback,19.3
1951,Suzuki Alto VX 2021,Suzuki,2021,9647,Petrol,Manual,Islamabad,White,660,Hatchback,19.3
1952,Suzuki Alto VXR 2019,Suzuki,2019,53000,Petrol,Manual,Lahore,Silver,660,Hatchback,19.3
1953,Suzuki Alto VX 2021,Suzuki,2021,17500,Petrol,Manual,Islamabad,White,660,Hatchback,19.3
1954,Suzuki Alto VX 2022,Suzuki,2022,11200,Petrol,Manual,Lahore,White,660,Hatchback,19.3
1955,Suzuki Alto VXR 2019,Suzuki,2019,42000,Petrol,Manual,Sindh,White,660,Hatchback,19.3
1956,Suzuki Alto VX 2022,Suzuki,2022,4500,Petrol,Manual,Un-Registered,White,660,Hatchback,19.3
1957,Suzuki Alto VXR 2020,Suzuki,2020,38000,Petrol,Manual,Punjab,White,660,Hatchback,19.3
1958,Suzuki Alto VXR 2020,Suzuki,2020,28000,Petrol,Manual,Sindh,White,660,Hatchback,19.35
