S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
1,Suzuki Bolan VX 2010,Suzuki,2010,60000,Petrol,Manual,Lahore,Maroon,800.0,Mini Van,6.45,-6.119897334355301,-6.016137197929311,21.64808433519292
2,Suzuki Alto VXR 2006,Suzuki,2006,54000,Petrol,Manual,Islamabad,White,1000.0,Hatchback,6.45,-3.434653164287738,-3.315049876881858,26.73980160257768
3,Suzuki Cultus VXR 2006,Suzuki,2006,50000,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.45,-5.417758325595969,-5.310416982055358,26.7396735867896
4,Suzuki Mehran VX (CNG) 2012,Suzuki,2012,59000,Petrol,Manual,Lahore,Black,800.0,Hatchback,6.45,5.4057535338188245,5.540191924654209,21.656598543161216
5,Suzuki Mehran VX 2011,Suzuki,2011,45000,Petrol,Manual,Sindh,White,800.0,Hatchback,6.5,1.0670127815565138,1.1091467171436307,21.652243786278014
6,Suzuki Potohar Basegrade 1986,Suzuki,1986,19999,Diesel,Manual,Lahore,Orange,1000.0,SUV,6.5,-8.537946322133394,-8.69134670220501,26.65679490497103
7,Suzuki Cultus VXL 2000,Suzuki,2000,10000,Hybrid,Manual,Abbottabad,Black,1000.0,Hatchback,6.5,-8.222691835671867,-8.030467608668005,26.714756626897895
8,Suzuki Mehran VXR (CNG) 2011,Suzuki,2011,40000,Petrol,Manual,Lahore,Grey,800.0,Hatchback,6.5,1.28379955877881,1.3658081828825743,21.652181456809664
9,Suzuki Cultus VXR 2006,Suzuki,2006,35385,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,6.5,-5.694799321387109,-5.636546691926014,26.739676729076855
10,Suzuki Mehran VX 2012,Suzuki,2012,50000,Petrol,Manual,Sheikhupura,Black,800.0,Hatchback,6.5,6.9892801274736485,6.629564789519463,21.65669540416401
11,Suzuki Mehran VX 2012,Suzuki,2012,60000,Petrol,Manual,Lahore,White,800.0,Hatchback,6.5,3.4304116900757435,3.5112779245091588,21.656459072886364
12,Suzuki Ravi Euro II 2015,Suzuki,2015,35000,Petrol,Manual,Punjab,Green,800.0,Pick Up,6.5,9.558762329488673,9.407331767132746,21.66934169936478
13,Suzuki Alto VXR (CNG) 2003,Suzuki,2003,50000,Petrol,Manual,Lahore,Gold,1000.0,Hatchback,6.5,-10.46989639959611,-10.321097755398114,26.726918923787487
14,Suzuki Cultus VXR (CNG) 2003,Suzuki,2003,40000,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.5,-11.67683206377842,-11.538421474540883,26.726890638980848
15,Suzuki Bolan VX Euro II 2012,Suzuki,2012,50000,Petrol,Manual,Islamabad,White,800.0,Van,6.5,-0.2197107052370484,-0.08822759971917549,21.6565901868018
16,Suzuki Cultus VXR 2003,Suzuki,2003,60000,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.5,-11.67683206377842,-11.538421474540883,26.726890638980848
17,Suzuki Cultus VXR 2004,Suzuki,2004,1234,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,6.5,-9.59047415105033,-9.462419977045101,26.731140653665157
18,Suzuki Mehran VXR 2008,Suzuki,2008,1000,Petrol,Manual,Lahore,White,800.0,Hatchback,6.5,-4.915019960833888,-4.792728065470328,21.639658234438727
19,Suzuki Bolan VX Euro II 2015,Suzuki,2015,45000,Petrol,Manual,Lahore,Green,800.0,Van,6.55,2.538936343471505,2.7644735692501854,21.669226192541664
20,Suzuki Bolan VX (CNG) 2006,Suzuki,2006,4500,Petrol,Manual,Lahore,White,800.0,Mini Van,6.55,-10.834422954848378,-10.649008390176277,21.631366846884553
21,Suzuki Cultus VXR (CNG) 2002,Suzuki,2002,20000,Petrol,Manual,Islamabad,Silver,1000.0,Hatchback,6.55,-12.614829977529553,-12.483648020453074,26.722758741443997
22,Daihatsu Cuore CL 2005,Daihatsu,2005,1111,Petrol,Manual,Punjab,Silver,800.0,Hatchback,6.6,-6.1738384660638985,-6.378629134226685,21.627500502617792
23,Suzuki Bolan GL 2007,Suzuki,2007,30000,Petrol,Manual,Islamabad,White,800.0,Micro Van,6.6,-3.374933654691631,-3.38462695981616,21.635667869113767
24,Suzuki Mehran VX (CNG) 2009,Suzuki,2009,50000,Petrol,Manual,Lahore,Grey,800.0,Hatchback,6.6,-2.888916266675551,-2.786194812107169,21.643781034978176
25,Suzuki Mehran VXR Euro II 2014,Suzuki,2014,60000,Petrol,Manual,Sindh,White,800.0,Hatchback,6.6,7.326086519738965,7.337151209628246,21.66493788924617
26,Suzuki Ravi Euro II 2015,Suzuki,2015,31500,Petrol,Manual,Lahore,Green,800.0,Pick Up,6.6,9.135426989978441,9.052587851995668,21.66925947837975
27,Suzuki Mehran VXR 2008,Suzuki,2008,45000,Petrol,Manual,Islamabad,White,800.0,Hatchback,6.6,-3.7666599618578402,-3.661953113887648,21.639762062890348
28,Hyundai Santro Club 2004,Hyundai,2004,10000,Petrol,Manual,Sindh,Grey,1000.0,Hatchback,6.6,-8.603669693822667,-8.750691654346156,26.731352445364607
29,Suzuki Cultus VXR 2005,Suzuki,2005,1000,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,6.6,-7.781157234114289,-7.712548189420886,26.735404779814516
30,Suzuki Cultus VXR 2007,Suzuki,2007,50000,Petrol,Manual,Lahore,Blue,1000.0,Hatchback,6.6,-1.8568937878071665,-1.8965610635441408,26.744001263270775
31,Suzuki Mehran VX 2006,Suzuki,2006,14073,Petrol,Manual,Lahore,White,800.0,Hatchback,6.6,-9.087735786289159,-8.944731060460072,21.631332649856027
32,Suzuki Mehran VXR (CNG) 2009,Suzuki,2009,58000,Petrol,Manual,Lahore,Silver,800.0,Hatchback,6.65,-3.6634072104388906,-3.5813187215662765,21.6438213184136
33,Suzuki Cultus VXR 2007,Suzuki,2007,47855,Petrol,Manual,Lahore,Burgundy,1000.0,Hatchback,6.69,-5.700002052543823,-5.34638175127202,26.743997659787794
34,Suzuki Bolan VX Euro II 2016,Suzuki,2016,59000,Petrol,Manual,Multan,Green,800.0,Van,6.7,6.752719775047808,6.889056688522032,21.673571943799196
35,Suzuki Mehran VX 2010,Suzuki,2010,32000,Petrol,Manual,Islamabad,Maroon,800.0,Hatchback,6.7,-3.2248501668200333,-3.181084916630425,21.648153969536992
36,Suzuki Bolan VX 2012,Suzuki,2012,55000,Petrol,Manual,Un-Registered,White,800.0,Mini Van,6.7,4.95283384063805,5.082524644708428,21.656866408307366
37,Suzuki Mehran VX (CNG) 2010,Suzuki,2010,16481,Petrol,Manual,Sindh,Silver,800.0,Hatchback,6.7,-1.8540902935028498,-1.8314469339420612,21.648018918089903
38,Suzuki Bolan VX (CNG) 2009,Suzuki,2009,10000,Petrol,Manual,Mansehra,Red,800.0,Mini Van,6.7,-4.194487383289015,-4.155821411773104,21.643992798828783
39,Honda Civic EX 1995,Honda,1995,999,Petrol,Manual,Islamabad,Black,1500.0,Sedan,6.7,-7.904004546172473,-7.818081842963693,44.37151325942948
40,Suzuki Mehran VXR 2010,Suzuki,2010,1000,Petrol,Manual,Islamabad,White,800.0,Hatchback,6.7,0.4060558635965208,0.49004988110209524,21.648137548141598
41,Suzuki Mehran VX (CNG) 2012,Suzuki,2012,35307,Petrol,Manual,Sindh,White,800.0,Hatchback,6.75,3.153370694284604,3.1851482146385024,21.65646269525581
42,Suzuki Ravi Euro II 2014,Suzuki,2014,53000,Petrol,Manual,Sindh,Red,800.0,Pick Up,6.75,9.3663667671226,9.03400152920949,21.665021109432082
43,Suzuki Mehran VX (CNG) 2010,Suzuki,2010,55000,Petrol,Manual,Islamabad,White,800.0,Hatchback,6.75,0.4060558635965208,0.49004988110209524,21.648137548141598
44,Honda Civic EXi Automatic 1996,Honda,1996,8888,Petrol,Automatic,Punjab,Black,1500.0,Sedan,6.75,0.44438824360349827,0.7128769435648792,44.3768077767193
45,Suzuki Cultus VXR 2007,Suzuki,2007,1000,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,6.75,-3.608441408659928,-3.5605451944311426,26.743959640202064
46,Suzuki Mehran VX 2010,Suzuki,2010,55000,Petrol,Manual,Punjab,White,800.0,Hatchback,6.75,-0.3189687958692957,-0.28598115534350654,21.648115939212424
47,Chevrolet Joy 1.0 2008,Chevrolet,2008,10000,Petrol,Manual,Sindh,Indigo,1000.0,Hatchback,6.75,5.028478181878199,4.2172860827076875,26.748525248892058
48,Suzuki Potohar Basegrade 1987,Suzuki,1987,697,Diesel,Manual,Lahore,Green,1000.0,SUV,6.8,-7.655274778584499,-7.866627888168296,26.66084724601572
49,Toyota Corolla 2.0D 2006,Toyota,2006,22222,Diesel,Manual,Lahore,White,2000.0,Sedan,6.8,40.141517177428796,39.45887203071197,66.08445669210256
50,Suzuki Khyber GA 1998,Suzuki,1998,50000,Petrol,Manual,Punjab,Grey,1000.0,Hatchback,6.8,-20.91079534414166,-20.768561137419056,26.705849077033413
51,Suzuki Baleno Sport 2000,Suzuki,2000,2000,Petrol,Manual,Islamabad,White,1300.0,Sedan,6.8,-11.252076212331303,-10.9628762153161,36.60431578613103
52,Suzuki Mehran VX Euro II 2014,Suzuki,2014,60000,Petrol,Manual,Abbottabad,Blue,800.0,Hatchback,6.8,8.893298677222447,8.75750862572204,21.665055272889013
53,Suzuki Mehran VX 2012,Suzuki,2012,25335,Petrol,Manual,Punjab,Grey,800.0,Hatchback,6.8,3.7934928110171313,3.796553595514524,21.656482586008906
54,Suzuki Mehran VXR Euro II 2013,Suzuki,2013,4444,Petrol,Manual,Sindh,Grey,800.0,Hatchback,6.8,5.179474388442941,5.191681468001661,21.660635355807294
55,Suzuki Mehran VX Euro II 2013,Suzuki,2013,7000,Petrol,Manual,Khanewal,White,800.0,Hatchback,6.8,5.690258125891887,5.657021378236095,21.660787247066224
56,Suzuki Mehran VX 2011,Suzuki,2011,58000,Petrol,Manual,Punjab,White,800.0,Hatchback,6.8,1.7673891168578848,1.7900203421513652,21.652322384631475
57,Suzuki Bolan VX 2012,Suzuki,2012,10000,Petrol,Manual,Gujranwala,Black,800.0,Mini Van,6.8,1.6133825366932797,1.9276297680107746,21.656728697444592
58,Suzuki Cultus VXL (CNG) 2006,Suzuki,2006,25000,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,6.8,-5.694799321387109,-5.636546691926014,26.739676729076855
59,Suzuki Mehran VX Euro II 2013,Suzuki,2013,858,Petrol,Manual,Multan,White,800.0,Hatchback,6.8,7.644195121651137,7.635861043781006,21.660767468366572
60,Honda Civic VTi 1.6 1997,Honda,1997,9999,Petrol,Manual,Sindh,White,1600.0,Sedan,6.85,-4.879670247714785,-4.902444393575024,48.537660808104185
61,Chevrolet Joy 1.0 2006,Chevrolet,2006,1234,Petrol,Manual,Rahim Yar Khan,White,1000.0,Hatchback,6.85,5.996876626870289,4.860859371618972,26.740024540888932
62,Suzuki Mehran VXR 2011,Suzuki,2011,44780,Petrol,Manual,Islamabad,White,800.0,Hatchback,6.85,2.4924137763237013,2.566051378596967,21.652343993867483
63,Suzuki Alto VXR (CNG) 2006,Suzuki,2006,60000,Petrol,Manual,Islamabad,White,1000.0,Hatchback,6.85,-3.434653164287738,-3.315049876881858,26.73980160257768
64,Suzuki Cultus VXR 2006,Suzuki,2006,56000,Petrol,Manual,Sahiwal,Silver,1000.0,Hatchback,6.9,-5.604422154293388,-5.484335060554258,26.73977088113626
65,Suzuki Cultus VXR 2006,Suzuki,2006,18000,Petrol,Manual,Islamabad,Grey,1000.0,Hatchback,6.9,-3.4949073828565815,-3.3845181210135706,26.73974123361529
66,Suzuki Alto VXR 2007,Suzuki,2007,50000,Petrol,Automatic,Sindh,Blue,660.0,Hatchback,6.9,-2.804903706226469,-2.6398430423278114,18.85178763628884
67,Suzuki Mehran VX 2011,Suzuki,2011,51423,Petrol,Manual,Islamabad,White,800.0,Hatchback,6.95,2.4924137763237013,2.566051378596967,21.652343993867483
68,Suzuki Mehran VX 2010,Suzuki,2010,42000,Petrol,Manual,Islamabad,White,800.0,Hatchback,6.95,0.4060558635965208,0.49004988110209524,21.648137548141598
69,Suzuki Mehran VX Euro II 2013,Suzuki,2013,6666,Petrol,Manual,Multan,Grey,800.0,Hatchback,6.95,7.5839409030822935,7.566392799649293,21.66070875999923
70,Suzuki Cultus VXR 2007,Suzuki,2007,50000,Petrol,Manual,Sindh,White,1000.0,Hatchback,6.95,-2.773696246327745,-2.6959530408403225,26.743980509920128
71,Suzuki Cultus VXRi (CNG) 2008,Suzuki,2008,50000,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,6.95,-1.5220834959318381,-1.4845436969362709,26.748253509182824
72,Hyundai Santro Club 2004,Hyundai,2004,8888,Petrol,Manual,Peshawar,Beige,1000.0,Hatchback,6.99,-6.826121574237732,-6.998350488089272,26.731512587374255
73,Suzuki Mehran VX 2009,Suzuki,2009,45873,Petrol,Manual,Islamabad,Blue,800.0,Hatchback,7.0,-1.040540586401221,-1.1126893489672511,21.643968221150544
74,Suzuki Bolan VX Euro II 2015,Suzuki,2015,10000,Petrol,Manual,Sargodha,Green,800.0,Van,7.0,6.666132306607324,6.282894074809519,21.669321534005995
75,Toyota Corolla SE Limited 1988,Toyota,1988,10000,Petrol,Manual,Sindh,White,1500.0,Sedan,7.0,-27.261591314510042,-27.08459477702945,44.34108630191547
76,Suzuki Bolan VX Euro II 2015,Suzuki,2015,34597,Petrol,Manual,Punjab,Green,800.0,Van,7.0,2.9622716829817364,3.1192174843872635,21.66930841352641
77,Suzuki Cultus VXR 2007,Suzuki,2007,45000,Petrol,Manual,Multan,Beige,1000.0,Hatchback,7.0,2.3703779723446132,2.330191696849397,26.744071337829865
78,Honda Civic EX 1995,Honda,1995,15000,Petrol,Manual,Sindh,White,1500.0,Sedan,7.0,-11.304747384682742,-11.30390050456208,44.37125649404416
79,Suzuki Bolan VX Euro II 2015,Suzuki,2015,19663,Petrol,Manual,Multan,Green,800.0,Van,7.0,4.666361862319718,4.813055191027161,21.66930321901733
80,Suzuki Mehran VX 2007,Suzuki,2007,60000,Petrol,Manual,Islamabad,Blue,800.0,Hatchback,7.0,-5.2132564118564915,-5.264692343956995,21.635617682913526
81,Suzuki Cultus VXR 2006,Suzuki,2006,54000,Petrol,Manual,Sindh,Silver,1000.0,Hatchback,7.0,-5.694799321387109,-5.636546691926014,26.739676729076855
82,Suzuki Mehran VXR 2009,Suzuki,2009,43528,Petrol,Manual,Lahore,White,800.0,Hatchback,7.0,-2.8286620481067075,-2.7167265679754564,21.643839740896752
83,Suzuki Bolan VX (CNG) 2006,Suzuki,2006,40000,Petrol,Manual,Lahore,White,800.0,Mini Van,7.0,-10.834422954848378,-10.649008390176277,21.631366846884553
84,Suzuki Cultus VXR (CNG) 2007,Suzuki,2007,18000,Petrol,Manual,Karachi,White,1000.0,Hatchback,7.0,-2.9343614546814933,-2.8493726803035315,26.744078689760897
85,Suzuki Cultus VXR 2006,Suzuki,2006,59000,Petrol,Manual,Islamabad,White,1000.0,Hatchback,7.1,-3.434653164287738,-3.315049876881858,26.73980160257768
86,Suzuki Khyber Plus 1998,Suzuki,1998,48000,Petrol,Manual,Islamabad,Grey,1000.0,Hatchback,7.1,-20.185770684675845,-19.992530100973454,26.705872881395962
87,Suzuki Cultus VXL (CNG) 2007,Suzuki,2007,1144,Petrol,Manual,Multan,White,1000.0,Hatchback,7.1,-0.36922973168839235,-0.3212417091926909,26.74405616917911
88,Suzuki Mehran VX (CNG) 2010,Suzuki,2010,50000,Petrol,Manual,Islamabad,White,800.0,Hatchback,7.1,0.4060558635965208,0.49004988110209524,21.648137548141598
89,Suzuki Mehran VXR Euro II 2013,Suzuki,2013,53000,Petrol,Manual,Sindh,White,800.0,Hatchback,7.1,5.239728607011784,5.261149712133374,21.6606940641511
90,Suzuki Cultus VXRi 2007,Suzuki,2007,50000,Petrol,Manual,Multan,Gold,1000.0,Hatchback,7.1,0.0029607701617351267,0.03148985635925783,26.744063584087044
91,Suzuki Alto VXR 2007,Suzuki,2007,30000,Petrol,Manual,Sindh,Gold,1000.0,Hatchback,7.1,-2.4015057444776176,-2.3432214752883738,26.74398792483047
92,Honda City EXi 1998,Honda,1998,7766,Petrol,Manual,Sindh,Maroon,1300.0,Sedan,7.15,-13.181302299941308,-13.245937041806428,36.595729928354004
93,Suzuki Mehran VX 2011,Suzuki,2011,42000,Petrol,Manual,Punjab,White,800.0,Hatchback,7.15,1.7673891168578848,1.7900203421513652,21.652322384631475
94,Suzuki Alto VXR 2008,Suzuki,2008,45000,Petrol,Manual,Multan,Bronze,1000.0,Hatchback,7.15,-10.118626163671252,-9.078046443232779,26.748365044967407
95,Suzuki Cultus VXL (CNG) 2005,Suzuki,2005,58000,Petrol,Manual,Multan,Silver,1000.0,Hatchback,7.2,-5.3766907194749365,-5.3378368577732545,26.735480438823743
96,Suzuki Alto VXR 2008,Suzuki,2008,54500,Petrol,Manual,Sialkot,Green,1000.0,Hatchback,7.2,-1.2671149536699886,-1.1061299269213123,26.74837588654625
97,Suzuki Cultus VXL 2006,Suzuki,2006,50000,Petrol,Manual,Sindh,Blue,1000.0,Hatchback,7.2,-4.220292696325487,-4.298692270909669,26.739721494388043
98,Suzuki Bolan VX (CNG) 2010,Suzuki,2010,60000,Petrol,Manual,Gujrat,White,800.0,Mini Van,7.2,24.47987350413132,15.68134697419464,21.64816471724979
99,Suzuki Bolan Cargo Van Euro ll 2015,Suzuki,2015,47000,Petrol,Manual,Sialkot,Green,800.0,Mini Van,7.2,7.085980643836592,7.22269699383105,21.669328297997048
100,Suzuki Mehran VXR Euro II 2014,Suzuki,2014,32000,Petrol,Manual,Sindh,White,800.0,Hatchback,7.2,7.326086519738965,7.337151209628246,21.66493788924617
101,Suzuki Cultus VXR 2007,Suzuki,2007,56000,Petrol,Manual,Punjab,White,1000.0,Hatchback,7.2,-2.073319911026374,-2.015079415832588,26.74406070666209
102,Suzuki Mehran VXR (CNG) 2007,Suzuki,2007,22553,Petrol,Manual,Multan,White,800.0,Hatchback,7.2,-4.873952354713765,-4.820147941188225,21.63556622910769
103,Suzuki Mehran VX 2009,Suzuki,2009,38200,Petrol,Manual,Islamabad,White,800.0,Hatchback,7.2,-1.6803020491306597,-1.5859516163927765,21.643943569907137
104,Suzuki Bolan VX Euro II 2014,Suzuki,2014,44000,Petrol,Manual,Punjab,White,800.0,Van,7.2,3.227980460751496,3.287744358824966,21.66504377031241
105,Suzuki Ravi Euro II 2014,Suzuki,2014,19100,Petrol,Manual,Sindh,Red,800.0,Pick Up,7.2,9.3663667671226,9.03400152920949,21.665021109432082
106,Suzuki Mehran VXR 2011,Suzuki,2011,48000,Petrol,Manual,Punjab,Grey,800.0,Hatchback,7.2,1.7071348982890413,1.7205520980196525,21.652263677540297
107,Daihatsu Cuore CL Eco 2010,Daihatsu,2010,25487,Petrol,Manual,Sindh,Beige,800.0,Hatchback,7.2,7.131927628636731,6.836530287872847,21.648301261702997
108,Suzuki Mehran VX 2011,Suzuki,2011,47000,Petrol,Manual,Punjab,White,800.0,Hatchback,7.25,1.7673891168578848,1.7900203421513652,21.652322384631475
109,Suzuki Mehran VX 2011,Suzuki,2011,43000,Petrol,Manual,Sindh,Grey,800.0,Hatchback,7.25,1.0067585629876703,1.039678473011918,21.65218507917821
110,Toyota Crown Royal Saloon 1985,Toyota,1985,11111,Diesel,Automatic,Karachi,Grey,2200.0,Sedan,7.25,7.321822746977887,7.043717547327105,74.71516404291405
111,Suzuki Cultus VXR (CNG) 2006,Suzuki,2006,60000,Petrol,Manual,Sindh,Blue,1000.0,Hatchback,7.25,-4.220292696325487,-4.298692270909669,26.739721494388043
112,Suzuki Mehran VX Euro II 2013,Suzuki,2013,22000,Petrol,Manual,Gujranwala,White,800.0,Hatchback,7.25,3.471085774236599,3.6789945950768015,21.660786401843126
113,Suzuki Cultus VXRi (CNG) 2007,Suzuki,2007,45000,Petrol,Manual,Punjab,Black,1000.0,Hatchback,7.25,-0.09797806728329306,0.013834584312462539,26.744204427802032
114,Suzuki Ravi Euro II 2013,Suzuki,2013,45000,Petrol,Manual,Rawalpindi,White,800.0,Pick Up,7.25,6.850767975880444,6.534148104324231,21.660819325685182
115,Suzuki Mehran VX Euro II 2013,Suzuki,2013,27000,Petrol,Manual,Islamabad,Grey,800.0,Hatchback,7.25,6.604875383210128,6.648586129454998,21.660735564270325
116,Suzuki Cultus VXR 2007,Suzuki,2007,2000,Petrol,Manual,Sindh,Blue,1000.0,Hatchback,7.25,-2.1339347835983062,-2.222690773414797,26.744004405561
117,Honda Civic EX 1995,Honda,1995,10000,Petrol,Manual,Punjab,White,1500.0,Sedan,7.25,-10.60437104938137,-10.623026879554345,44.37133723865058
118,Suzuki Alto VXR 2006,Suzuki,2006,2500,Petrol,Manual,Kohat,Maroon,1000.0,Hatchback,7.25,-9.854017920145452,-9.173225134097265,26.739808320297463
119,Suzuki Cultus VXR 2006,Suzuki,2006,34000,Petrol,Manual,Sindh,White,1000.0,Hatchback,7.25,-4.8600541590549255,-4.771954538335194,26.739697598382186
120,Suzuki Mehran VX Euro II 2014,Suzuki,2014,25000,Petrol,Manual,Punjab,Gold,800.0,Hatchback,7.25,8.398653356890463,8.370756400187929,21.665024618849728
121,Suzuki Mehran VXR Euro II 2013,Suzuki,2013,19563,Petrol,Manual,Punjab,White,800.0,Hatchback,7.3,5.940104942313155,5.942023337141109,21.66077266268381
122,Suzuki Cultus VXR 2005,Suzuki,2005,6669,Petrol,Manual,Punjab,Silver,1000.0,Hatchback,7.3,-7.080780898812918,-7.0316745644131515,26.73548497609417
123,Suzuki Alto VXR 2007,Suzuki,2007,45908,Petrol,Manual,Islamabad,White,1000.0,Hatchback,7.3,-1.3482952515605575,-1.2390483793869862,26.74408451471396
124,Suzuki Mehran VXR 2011,Suzuki,2011,5500,Petrol,Manual,Abbottabad,Grey,800.0,Hatchback,7.3,1.9342092577417134,1.986773621680186,21.652277813993173
125,Suzuki Alto VXR 2006,Suzuki,2006,1234,Petrol,Manual,Islamabad,White,1000.0,Hatchback,7.3,-3.434653164287738,-3.315049876881858,26.73980160257768
126,Suzuki Mehran VXR (CNG) 2010,Suzuki,2010,8900,Petrol,Manual,Islamabad,Grey,800.0,Hatchback,7.3,0.3458016450276773,0.42058163697038253,21.6480788416512
127,Suzuki Mehran VX 2012,Suzuki,2012,55000,Petrol,Manual,Punjab,Grey,800.0,Hatchback,7.3,3.7934928110171313,3.796553595514524,21.656482586008906
128,Suzuki Alto VX 2010,Suzuki,2010,6000,Petrol,Manual,Rawalpindi,White,1000.0,Hatchback,7.3,3.2984086085052695,3.2472160369006815,26.756961799466175
129,FAW X-PV Basic 2014,FAW,2014,50000,Petrol,Manual,Islamabad,White,1000.0,Mini Van,7.3,1.318825725631541,1.9013683610864973,26.774634695678827
130,Suzuki Mehran VXR 2011,Suzuki,2011,12456,Petrol,Manual,Punjab,Grey,800.0,Hatchback,7.3,1.7071348982890413,1.7205520980196525,21.652263677540297
131,Suzuki Bolan VX (CNG) 2009,Suzuki,2009,55000,Petrol,Manual,Islamabad,White,800.0,Mini Van,7.3,-3.4269892176898793,-3.290228946108982,21.64397776551867
132,Daihatsu Cuore CL 2007,Daihatsu,2007,14874,Petrol,Manual,Sindh,White,800.0,Hatchback,7.3,-1.8667538135787254,-2.042907610653856,21.635740949914613
133,Suzuki Margalla GL 1996,Suzuki,1996,46000,Petrol,Manual,Abbottabad,White,1300.0,Sedan,7.3,-20.09545816325408,-19.776691718080656,36.586995262177
134,Suzuki Mehran VX Euro II 2013,Suzuki,2013,1234,Petrol,Manual,Rawalpindi,White,800.0,Hatchback,7.3,5.052759723662348,4.976314297389763,21.660758756921695
135,Suzuki Bolan VX Euro II 2015,Suzuki,2015,15000,Petrol,Manual,Punjab,Green,800.0,Van,7.3,2.9622716829817364,3.1192174843872635,21.66930841352641
136,Suzuki Mehran VX (CNG) 2008,Suzuki,2008,44000,Petrol,Manual,Islamabad,Silver,800.0,Hatchback,7.35,-4.601405124190023,-4.526545267478468,21.639743640967403
137,Suzuki Mehran VX Euro II 2014,Suzuki,2014,55000,Petrol,Manual,Punjab,Grey,800.0,Hatchback,7.35,7.966208636471492,7.948556590504268,21.664957779030175
138,Honda Civic EX 1995,Honda,1995,53320,Petrol,Manual,Sialkot,Red,1500.0,Sedan,7.35,-9.290185319090597,-9.40653400355859,44.37137010413324
139,Prince Pearl MT 2022,Prince,2022,1700,Petrol,Manual,Punjab,White,800.0,Hatchback,7.35,15.82590619567145,15.913483062558953,21.699621265680022
140,Suzuki Mehran VX Euro II 2013,Suzuki,2013,52000,Petrol,Manual,Multan,White,800.0,Hatchback,7.35,7.644195121651137,7.635861043781006,21.660767468366572
141,Suzuki Cultus VXL (CNG) 2005,Suzuki,2005,36000,Petrol,Manual,Rawalpindi,White,1000.0,Hatchback,7.35,-7.133380955131543,-7.132791450573677,26.73549247118997
142,Suzuki Mehran VX 2008,Suzuki,2008,45000,Petrol,Manual,Islamabad,Silver,800.0,Hatchback,7.4,-4.601405124190023,-4.526545267478468,21.639743640967403
143,Suzuki Alto VXR 2007,Suzuki,2007,28403,Petrol,Manual,Islamabad,Gold,1000.0,Hatchback,7.4,-0.97610474971043,-0.8863168138350375,26.744091929605744
144,Suzuki Alto G 2006,Suzuki,2006,56000,Petrol,Automatic,Sindh,White,660.0,Hatchback,7.4,-5.531023081683088,-5.1891068072482085,18.847716938981357
145,Suzuki Mehran VXR Euro II 2017,Suzuki,2017,5000,Petrol,Manual,Islamabad,Silver,800.0,Hatchback,7.4,14.17581609035642,14.157468209975377,21.677825847158843
146,Suzuki Bolan VX (CNG) 2007,Suzuki,2007,11000,Petrol,Manual,Islamabad,White,800.0,Mini Van,7.4,-7.59970504314515,-7.442231941098726,21.635627227275272
147,Suzuki Mehran VX 2011,Suzuki,2011,53000,Petrol,Manual,Islamabad,Silver,800.0,Hatchback,7.4,1.6576686139915182,1.7014592250061469,21.652325570489076
148,Suzuki Alto GII 2005,Suzuki,2005,54000,Petrol,Automatic,Sindh,White,660.0,Hatchback,7.4,-7.617380994410269,-7.26510830474308,18.843684478542997
149,Suzuki Mehran VXR 2011,Suzuki,2011,50000,Petrol,Manual,Punjab,Silver,800.0,Hatchback,7.4,0.9326439545257017,0.9254281885605451,21.652303961253132
150,Suzuki Mehran VX (CNG) 2011,Suzuki,2011,56000,Petrol,Manual,Multan,Grey,800.0,Hatchback,7.4,3.411225077627023,3.4143898046595496,21.65225848341496
151,Suzuki Cultus VXR 2006,Suzuki,2006,10000,Petrol,Manual,Islamabad,White,1000.0,Hatchback,7.45,-3.434653164287738,-3.315049876881858,26.73980160257768
152,Daihatsu Cuore CX Eco 2007,Daihatsu,2007,1234,Petrol,Manual,Punjab,Black,800.0,Hatchback,7.45,0.8089643654657266,0.6668800144989291,21.635959018255917
153,Suzuki Cultus VXL (CNG) 2007,Suzuki,2007,2555,Petrol,Manual,Multan,White,1000.0,Hatchback,7.45,-0.36922973168839235,-0.3212417091926909,26.74405616917911
154,Suzuki Bolan VX 2012,Suzuki,2012,15600,Petrol,Manual,Islamabad,White,800.0,Mini Van,7.5,2.8320845204925718,2.937775546375633,21.656597097382935
155,Suzuki Baleno JXL 2004,Suzuki,2004,25000,Petrol,Manual,Punjab,White,1300.0,Sedan,7.5,-3.6316692208874883,-3.434901261781306,36.621727028224626
156,Suzuki Ravi Euro II 2015,Suzuki,2015,40000,Petrol,Manual,Gujranwala,Green,800.0,Pick Up,7.5,7.089743161412116,7.144303025068439,21.669355438300535
