S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
2577,Suzuki Alto VX 2021,Suzuki,2021,6962,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.5,20.202687067481747,20.1768319911489,18.908951156042754
2578,Suzuki Alto VXR 2021,Suzuki,2021,20000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.5,19.47766240801593,19.4008009547033,18.908931163181443
2579,Suzuki Alto VXR 2021,Suzuki,2021,8500,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.5,20.202687067481747,20.1768319911489,18.908951156042754
2580,Suzuki Alto VXR 2021,Suzuki,2021,13500,Petrol,Manual,Punjab,White,660.0,Hatchback,21.55,19.47766240801593,19.4008009547033,18.908931163181443
2581,Suzuki Alto VXR 2021,Suzuki,2021,12000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.55,19.47766240801593,19.4008009547033,18.908931163181443
2582,Suzuki Alto VXL AGS 2020,Suzuki,2020,42000,Petrol,Automatic,Lahore,Grey,660.0,Hatchback,21.55,23.894774473723373,24.13157562341894,18.905506209697535
2583,Suzuki Alto VXR 2021,Suzuki,2021,7000,Petrol,Manual,Islamabad,Silver,660.0,Hatchback,21.6,19.367941905149564,19.31223983755808,18.908934443768352
2584,Suzuki Alto VX 2021,Suzuki,2021,7500,Petrol,Manual,Punjab,White,660.0,Hatchback,21.6,19.47766240801593,19.4008009547033,18.908931163181443
2585,Suzuki Alto VXR 2022,Suzuki,2022,850,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.6,24.409794300354406,24.397582586977478,18.913460090309407
2586,Suzuki Alto VXR 2022,Suzuki,2022,26000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.6,21.56402032074311,21.47680245219908,18.91317615774784
2587,Suzuki Alto VXR 2021,Suzuki,2021,14000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.6,19.47766240801593,19.4008009547033,18.908931163181443
2588,Suzuki Alto VXL AGS 2019,Suzuki,2019,36000,Petrol,Automatic,Multan,White,660.0,Hatchback,21.6,23.99609629841234,24.173623991832756,18.901420268834315
2589,Suzuki Alto VXR 2022,Suzuki,2022,2735,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.6,24.409794300354406,24.397582586977478,18.913460090309407
2590,Suzuki Alto VXR 2021,Suzuki,2021,14000,Petrol,Manual,Lahore,Silver,660.0,Hatchback,21.6,18.219581906173516,18.1814648859754,18.908833510525604
2591,Suzuki Alto VXR 2022,Suzuki,2022,2500,Petrol,Manual,Lahore,White,660.0,Hatchback,21.6,21.14068498123288,21.122058537062003,18.913095217434567
2592,Suzuki Cultus VXR 2021,Suzuki,2021,30600,Petrol,Manual,Sindh,White,1000.0,Hatchback,21.6,26.43531453185642,26.36806792408788,26.805090088873257
2593,Suzuki Alto VXR 2022,Suzuki,2022,3500,Petrol,Manual,Sindh,White,660.0,Hatchback,21.6,20.86364398544174,20.795928827191346,18.913099123119714
2594,Suzuki Alto VXR 2022,Suzuki,2022,5500,Petrol,Manual,Un-Registered,Grey,660.0,Hatchback,21.6,24.349540081785563,24.328114342845765,18.91340284067128
2595,Suzuki Alto VXR 2021,Suzuki,2021,31000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.6,20.202687067481747,20.1768319911489,18.908951156042754
2596,Suzuki Alto VXL AGS 2019,Suzuki,2019,29500,Petrol,Automatic,Punjab,White,660.0,Hatchback,21.65,22.292006119074358,22.47978628519286,18.90142592015158
2597,Changan Karvaan Plus 2021,Changan,2021,29652,Petrol,Manual,Punjab,White,1000.0,Mini Van,21.65,22.852585224813083,22.72974606247317,26.805397002038553
2598,Suzuki Alto VXR 2021,Suzuki,2021,21000,Petrol,Manual,Islamabad,Silver,660.0,Hatchback,21.65,19.367941905149564,19.31223983755808,18.908934443768352
2599,Suzuki Alto VXR 2022,Suzuki,2022,6000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.7,21.56402032074311,21.47680245219908,18.91317615774784
2600,Suzuki Alto VXL AGS 2019,Suzuki,2019,55000,Petrol,Automatic,Islamabad,White,660.0,Hatchback,21.7,23.017030778540175,23.25581732163846,18.901445912497245
2601,Suzuki Alto VXR 2022,Suzuki,2022,3100,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.7,24.409794300354406,24.397582586977478,18.913460090309407
2602,Suzuki Alto VXL AGS 2019,Suzuki,2019,58000,Petrol,Automatic,Islamabad,White,660.0,Hatchback,21.7,23.017030778540175,23.25581732163846,18.901445912497245
2603,Suzuki Alto VXR 2021,Suzuki,2021,20000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,20.202687067481747,20.1768319911489,18.908951156042754
2604,Suzuki Alto VXR 2022,Suzuki,2022,350,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.7,24.409794300354406,24.397582586977478,18.913460090309407
2605,Suzuki Alto VXR 2021,Suzuki,2021,11000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.7,19.47766240801593,19.4008009547033,18.908931163181443
2606,Changan Karvaan Plus 2021,Changan,2021,35000,Petrol,Manual,Punjab,White,1000.0,Mini Van,21.7,22.852585224813083,22.72974606247317,26.805397002038553
2607,Suzuki Alto L 2017,Suzuki,2017,48922,Petrol,Automatic,Un-Registered,Black,660.0,Hatchback,21.7,22.940406116974373,23.277477425126563,18.893448364166233
2608,Suzuki Alto VXR 2021,Suzuki,2021,24000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,20.202687067481747,20.1768319911489,18.908951156042754
2609,Suzuki Alto VXR 2022,Suzuki,2022,10000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,22.289044980208928,22.252833488644683,18.913196150860223
2610,Suzuki Alto VXR 2022,Suzuki,2022,2600,Petrol,Manual,Hyderabad,White,660.0,Hatchback,21.7,21.003846693106425,20.945629251559694,18.91318982101553
2611,Suzuki Alto VXR 2021,Suzuki,2021,13000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,20.202687067481747,20.1768319911489,18.908951156042754
2612,Suzuki Alto VXR 2021,Suzuki,2021,4500,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,20.202687067481747,20.1768319911489,18.908951156042754
2613,Suzuki Alto VXL AGS 2019,Suzuki,2019,25000,Petrol,Automatic,Lahore,White,660.0,Hatchback,21.7,21.868670779564127,22.12504237005578,18.901344979515486
2614,Suzuki Alto VXR 2021,Suzuki,2021,8000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,20.202687067481747,20.1768319911489,18.908951156042754
2615,Suzuki Alto VXR 2022,Suzuki,2022,10000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,22.289044980208928,22.252833488644683,18.913196150860223
2616,Suzuki Alto VXR 2021,Suzuki,2021,22000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.7,19.47766240801593,19.4008009547033,18.908931163181443
2617,Suzuki Alto VXR 2022,Suzuki,2022,550,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.7,24.409794300354406,24.397582586977478,18.913460090309407
2618,Suzuki Alto VXR 2021,Suzuki,2021,20000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.7,20.202687067481747,20.1768319911489,18.908951156042754
2619,Suzuki Alto VXR 2022,Suzuki,2022,21000,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.7,24.409794300354406,24.397582586977478,18.913460090309407
2620,Suzuki Alto VXR 2021,Suzuki,2021,18000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.7,19.47766240801593,19.4008009547033,18.908931163181443
2621,Suzuki Alto VXR 2022,Suzuki,2022,9300,Petrol,Manual,Punjab,White,660.0,Hatchback,21.74,21.56402032074311,21.47680245219908,18.91317615774784
2622,Suzuki Alto VXR 2022,Suzuki,2022,5000,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.75,24.409794300354406,24.397582586977478,18.913460090309407
